year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,IOWA,IA,19,42,31,US PRESIDENT,"VACEK, DAN",LEGAL MARIJUANA NOW,False,2246,1565580
2016,IOWA,IA,19,42,31,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,False,323,1565580
2016,KANSAS,KS,20,47,32,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,671018,1184402
2016,KANSAS,KS,20,47,32,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,427005,1184402
2016,KANSAS,KS,20,47,32,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,55406,1184402
2016,KANSAS,KS,20,47,32,US PRESIDENT,"STEIN, JILL",INDEPENDENT,False,23506,1184402
2016,KANSAS,KS,20,47,32,US PRESIDENT,,,True,7467,1184402
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1202971,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,628854,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,53752,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"MCMULLIN, EVAN",INDEPENDENT,False,22780,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"STEIN, JILL",GREEN,False,13913,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,1128,1924149
2016,KENTUCKY,KY,21,61,51,US PRESIDENT,,,True,751,1924149
2016,LOUISIANA,LA,22,72,45,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1178638,2029032
2016,LOUISIANA,LA,22,72,45,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,780154,2029032
2016,LOUISIANA,LA,22,72,45,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,37978,2029032
2016,LOUISIANA,LA,22,72,45,US PRESIDENT,OTHER,,False,18231,2029032
2016,LOUISIANA,LA,22,72,45,US PRESIDENT,"STEIN, JILL",GREEN,False,14031,2029032
2016,MAINE,ME,23,11,2,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,357735,771892
2016,MAINE,ME,23,11,2,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,335593,771892
2016,MAINE,ME,23,11,2,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,38105,771892
2016,MAINE,ME,23,11,2,US PRESIDENT,BLANK VOTE,,False,23965,771892
2016,MAINE,ME,23,11,2,US PRESIDENT,"STEIN, JILL",GREEN,False,14251,771892
2016,MAINE,ME,23,11,2,US PRESIDENT,,UNENROLLED,False,2243,771892
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1677928,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,943169,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,79605,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"STEIN, JILL",GREEN,False,35945,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,,,True,33263,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,OTHER,,True,10921,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,,NO PARTY AFFILIATION,True,278,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,True,259,2781446
2016,MARYLAND,MD,24,52,52,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,True,78,2781446
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1995196,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1090893,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,138018,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,BLANK VOTE,,False,53775,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,OTHER,,False,50488,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,"STEIN, JILL",GREEN,False,47661,3378821
2016,MASSACHUSETTS,MA,25,14,3,US PRESIDENT,,,True,2790,3378821
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,2279543,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,2268839,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,172136,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"STEIN, JILL",GREEN,False,51463,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"CASTLE, DARRELL L.",U.S. TAXPAYERS PARTY,False,16139,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,,,True,8955,4799284
2016,MICHIGAN,MI,26,34,23,US PRESIDENT,"EMIDIO """"MIMI"""", SOLTYSIK",NATURAL LAW,False,2209,4799284
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1367705,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1322949,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,112972,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"MCMULLIN, EVAN",INDEPENDENCE,False,53075,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"STEIN, JILL",GREEN,False,36986,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,,,True,27247,2944782
